sample_name,Ptot_agro,BS_agro,CEC_agro,sodium_agro,potassium_agro,magnesium_agro,calcium_agro,hydrogen_agro,sand_agro,silt_agro,clay_agro,humus_agro,Corg_agro,clay_lbu,silt_lbu,humus_lbu,ph_lbu,phosphorus_CO2_lbu,potassium_CO2_lbu,magnesium_CC_lbu,phosphorus_EDTA_lbu,potassium_EDTA_lbu,magnesium_EDTA_lbu,manganese_EDTA_lbu,boron_EDTA_lbu,copper_EDTA_lbu,iron_EDTA_lbu,calcium_EDTA_lbu,zinc_EDTA_lbu,phosphorus_H2O_lbu,potassium_H2O_lbu,calcium_H2O_lbu,magnesium_H2O_lbu,boron_H2O_lbu,iron_H2O_lbu,sodium_H2O_lbu,nitrate_H2O_lbu,ammonium_H2O_lbu,P_olsen_lbu,respiration_lbu,slan_lbu,vast_lbu,fertility_lbu,respiration_agro,cMIC_agro,nMIC_agro,WHC_agro,nitrate_agro,ammonium_agro,Nmin_agro,Ctot_agro,Ntot_agro
F01,1323.62,85.51401869,21.4,0.05,0.94,2.01,15.3,3.1,30.3,38.2,28.3,3.17,1.84,16,21,3.36,7.3,24.6,6.9,16.9,196.66,335.46,351.3,496,1,16.3,292,5973,45.23,8.76,64.81,124.6,17.36,0.23,11.26,9.67,36.27,1.03,50.7,198,118,57,34.9,0.802,674.63,127.01,0.607,34.9,3.6,38.5,2.4,0.24
F02,754.19,98.69904597,23.06,0.03,0.6,1.83,20.3,0.3,27.3,39.8,30.8,2.15,1.25,21,21,2.26,7.85,4.1,4.3,11.9,34.8,222.56,1052,304,0.5,28.7,262,44130,5.196,1.82,44.81,208.3,15.06,0.13,5.69,5.49,26.68,3.29,30.1,99,93,33,20.3,0.562,334.10,41.13,0.617,24.8,0.1,24.9,4.26,0.16
F03,1081.03,92.92929293,19.8,0.03,0.43,0.74,17.2,1.4,42.3,32.4,22.7,2.58,1.49,16,21,2.77,7.5,11.1,3.5,6.4,64.01,137.75,275.3,399,1.1,20.6,298,31050,5.216,3.32,32.06,188.1,10.35,0.21,7.00,5.84,31.1,6.54,29.9,177,110,37,28.6,0.773,608.48,127.81,0.582,33.7,0.4,34.1,3.1,0.21
F04,1085.14,92.02790234,20.07,0.02,0.52,1.93,16,1.6,33.1,38.8,25.7,2.41,1.4,21,21,2.77,7.49,11.7,3.9,15.5,94.44,190.99,567.7,453,1.9,8.1,308,11020,5.625,4.13,40.27,167.8,18.57,0.42,4.21,4.36,29.92,5.86,40.9,184,125,52,33.1,0.605,591.73,89.63,0.627,25.2,1.5,26.7,2.58,0.21
F05,965.24,77.35191638,17.22,0.01,0.76,0.65,11.9,3.9,55.8,21.2,19.6,3.44,2,11,31,3.45,7,15.2,8.8,7.5,78.87,269.62,105,105,0.8,6.7,408,3194,5.261,5.97,70.18,75.38,6.4,0.25,5.60,2.95,21.52,5.34,39.8,191,135,62,36.4,0.555,497.77,84.58,0.678,20.8,3.1,23.9,2.38,0.25
F06,923.16,92.92256453,24.02,0.02,0.5,1.8,20,1.7,28.9,36.8,31.4,2.86,1.66,21,21,3.02,7.56,17.9,3.2,13.9,71.23,181.36,494,428,2.2,9.3,206,15810,7.209,5.24,33.75,164.6,14.62,0.46,4.69,4.79,29.3,4.91,49.9,148,125,68,33.4,0.626,556.53,90.92,0.684,24.8,0.6,25.4,2.81,0.24
F07,1138.95,80.02496879,24.03,0.03,0.52,2.08,16.6,4.8,23.5,42.1,31.6,2.83,1.64,21,21,3.2,6.95,21.4,2.9,16.9,142.65,180.76,274.4,285,0.9,16.4,394,4748,15.27,7.61,31,118.4,15.78,0.38,6.62,4.76,23.19,10.24,61.9,191,125,68,37.0,0.546,540.91,78.07,0.593,21.7,3.8,25.4,2.14,0.23
F08,1039.52,88.04279421,15.89,0.06,0.73,1,12.2,1.9,30.7,42.6,24,2.66,1.54,16,21,2.81,7.47,31.8,7.4,8.8,128.03,243.63,158.9,523,1.8,10.1,360,3960,7.957,9.53,65.28,162.8,15.15,0.53,9.91,12.90,42.17,5.95,58.5,177,110,57,32.7,0.790,589.60,113.02,0.579,34.3,0.3,34.7,1.92,0.21
F09,801.41,58.93536122,13.15,0.01,0.37,0.87,6.5,5.4,33.1,44.1,21.2,1.59,0.92,16,21,1.74,6.69,5.3,1.9,10.8,45.24,113.91,157.3,353,0.2,9.3,330,2105,4.727,3.92,20.18,52.81,9.25,0.21,10.17,2.24,8.2,3.6,40.4,208,93,57,34.3,0.540,351.89,50.80,0.471,6.7,2.4,9.2,1.2,0.13
F10,1126.8,66.90070211,19.94,0.07,0.47,1,11.8,6.6,42.2,28.2,27.2,2.43,1.41,16,21,2.39,6.55,4.5,2,9.9,40.5,154.3,133.5,456,0.4,20.1,327,2923,7.45,2.5,23.3,96.85,9.31,0.29,6.94,9.39,26.62,4.58,34.9,208,105,57,35.0,0.586,435.60,49.28,0.558,21.1,3.5,24.6,1.66,0.18
F11,819.07,81.39079334,20.42,0.03,0.61,1.58,14.4,3.8,29.7,39.7,27.5,3.12,1.81,16,21,3.13,7.22,8.4,3.7,12.9,53.44,195.31,207.9,358,0.8,8.1,334,3537,5.799,3.41,38.63,122.8,15.58,0.27,9.26,5.44,32.93,6.34,34.8,215,128,80,41.7,0.749,794.41,134.81,0.657,32.9,0.3,33.2,2.12,0.23
F12,1068.33,65.16301921,22.39,0.03,0.41,2.45,11.7,7.8,32.9,35.4,28.7,2.96,1.71,16,31,3.21,6.37,7.1,1.7,22,30.79,134.55,297.5,437,0.2,10.5,267,2806,5.514,3.61,22.74,104.6,22.29,0.18,9.21,4.62,50.06,5.16,37.8,237,153,57,40.1,0.561,692.83,115.99,0.732,30.9,3.4,34.3,2.24,0.25
F13,1136.36,93.75325351,19.21,0.02,0.44,0.55,17,1.2,31.6,35.4,30.5,2.51,1.45,21,21,2.87,7.51,4.4,2.9,5.2,65.85,197.26,216,486,1.9,11.8,323,21150,3.482,1.79,33,194.5,7.59,0.41,4.25,4.82,22.17,5.7,27.6,177,120,53,32.4,0.792,706.24,116.21,0.620,22.1,0.6,22.7,2.56,0.22
F14,1114.96,93.5309973,18.55,0.02,0.34,0.99,16,1.2,42.6,33.8,20.6,2.99,1.73,11,21,2.86,7.5,19.2,3.6,8.6,86.38,125.43,519.5,269,1.1,9,457,43170,6.093,7.05,36.43,218.2,14.61,0.23,4.00,7.31,50.92,7.82,61.6,191,118,57,34.3,0.844,782.49,133.19,0.623,40.1,0.7,40.9,5.13,0.23
