field,calcium_agro,Corg_agro,humus_agro,potassium_agro,CEC_agro,BS_agro,magnesium_agro,sodium_agro,Ptot_agro,sand_agro,silt_agro,clay_agro,hydrogen_agro,respiration_lbu,slan_lbu,vast_lbu,fertility_lbu,clay_lbu_fuehl,silt_lbu_fuehl,humus_lbu_fuehl,humus_lbu_percent,clay_lbu_percent,silt_lbu_percent,sand_lbu_percent,ph_lbu,phosphorus_CO2_lbu,potassium_CO2_lbu,magnesium_CC_lbu,phosphorus_EDTA_lbu,potassium_EDTA_lbu,magnesium_EDTA_lbu,manganese_EDTA_lbu,boron_EDTA_lbu,copper_EDTA_lbu,iron_EDTA_lbu,calcium_EDTA_lbu,zinc_EDTA_lbu,conductivity_lbu,salt_lbu,phosphorus_H2O_lbu,potassium_H2O_lbu,magnesium_H2O_lbu,calcium_H2O_lbu,nitrate_H2O_lbu,ammonium_H2O_lbu,boron_H2O_lbu,sodium_H2O_lbu,iron_H2O_lbu,P_olsen_lbu,respiration_agro,cMIC_agro,nMIC_agro,WHC_agro,nitrate_agro,ammonium_agro,Nmin_agro,Ctot_agro,Ntot_agro
F23,15.7,1.59,2.74,0.67,18.55,94.07,1.06,0.02,1245.45,40.2,36.2,20.9,1.1,95.7,85,21.3,17.1,21,21,2.5,2.06,16.22,33.6,48.12,7.54,27.2,5.2,8.5,206.12,194.89,403.1,325,1.6,11.7,334,23610,14.78,143,42.06,7.55,49.45,9.84,159.4,27.37,8.36,0.46,4.047,5.147,62.2,0.5310,284.16,49.57,0.517,22.3,0,22.4,2.65,0.15
F24,21.9,2.25,3.89,1.41,26.6,93.61,1.51,0.08,1162.72,28.4,38,29.7,1.7,333,152.5,37.3,44,21,21,2.5,3.61,27.46,37.48,31.45,7.36,29.2,11.4,11,132.4,429.17,472.9,263,2.3,9.8,429,30850,10.62,339,99.71,8.47,116.21,13.34,214.5,49.52,13.25,0.588,12.09,4.599,87.32,0.8730,724.47,144.45,0.723,39.4,0.1,39.5,3.84,0.28
F25,20.5,1.91,3.29,0.72,25.76,91.85,2.39,0.05,875.21,27.3,40.1,29.3,2.1,82.8,132.5,37.3,22,21,21,2.5,2.86,24.78,37.2,35.16,7.41,10,3.9,17.3,99.49,232.01,666.1,636,2.1,14.7,325,12040,9.876,161,47.35,3.66,39.65,15.95,151.5,34.61,10.31,0.467,8.678,5.984,44.5,0.7265,544.25,88.80,0.687,26.8,0.1,26.8,2.93,0.25
F26,13.4,1.71,2.94,0.39,19.86,73.82,0.83,0.04,1031.47,38.3,36.5,22.3,5.2,115,107.5,46.7,25.3,16,31,4,2.49,16.76,39.22,41.53,6.49,14.9,1.6,8.7,91.24,122.8,116.3,594,0.5,11.6,366,3043,6.297,89,26.18,7.72,18.9,7.18,65.7,19.22,8.59,0.261,6.636,10,51.78,0.5225,438.48,64.07,0.603,15.9,0,15.9,1.71,0.18
F27,20.9,2.44,4.2,0.34,25.9,92.66,2.74,0.02,777.97,30.4,39.2,26.2,1.9,143,167.5,46.7,30.9,21,21,3,3.97,22.78,41.32,31.93,7.33,11.7,2.7,20.5,43.27,101.44,1324,500,0.9,5.8,231,14600,15.8,202,59.41,3.75,28.76,22.45,192.4,43.42,17.19,0.093,4.25,3.122,35.8,1.0322,945.32,141.12,0.763,30.2,0,30.2,5.02,0.3
F28,14.7,2.18,3.76,1.04,26.63,66.95,1.98,0.11,965.2,23,41.3,31.9,8.8,172,157.5,56.9,34.9,21,21,2.5,3.59,26.64,35.5,34.27,6.21,18.4,3.3,18.3,72.42,281.06,279.9,149,0.2,7.1,486,3310,10.12,130,38.24,12.81,43.84,11.79,84,32.33,9.62,0.207,16.08,9.215,75.78,0.7685,624.83,94.95,0.798,30,0.1,30.1,2.51,0.29
F29,22.4,2.64,4.56,0.38,26.15,90.06,0.75,0.02,1669.55,38.8,35.6,21,2.6,428,185,,,16,31,3.5,3.81,22.72,31.54,41.93,7.31,58.5,2.6,6.9,157.08,119.36,358.1,164,0.9,20.2,521,45100,49.09,139,40.88,15.38,26.71,8.41,166.3,27.61,11.6,0.198,2.569,6.357,134.86,0.7048,570.30,99.76,0.685,31.6,0.1,31.7,5.27,0.31
F30,16.5,1.99,3.44,1.29,21.05,90.97,1.34,0.02,944.77,37.9,34.3,24.4,1.9,127,107.5,37.3,24.3,21,31,3,3.31,18.92,33.74,44.03,7.39,23.3,11.6,11.1,208.35,385.71,359.3,387,1.4,9.5,344,14020,14.36,158,46.47,8.36,106.07,12.09,140.7,31.4,8.85,0.394,4.291,10.27,66.9,1.3066,708.42,124.00,0.609,25.7,0.2,25.9,2.72,0.23
F31,18.6,2.09,3.6,0.39,23.25,87.96,1.42,0.04,673.75,38.5,31.9,26,2.8,123,145,68,32.5,16,31,3,3.56,21.54,25.12,49.78,7.13,6.6,2,11.6,37.21,136.86,238.2,250,0.7,4.5,236,6244,3.795,212,62.35,1.69,20.37,15.78,232.4,42.21,5.85,0.119,7.59,5.776,35.04,0.9964,638.43,126.13,0.687,36.3,0.1,36.4,2.41,0.26
F32,25.3,2.61,4.5,0.21,30.75,90.89,2.37,0.07,1129.37,21.4,45.8,28.3,2.8,119,212.5,,,21,31,3,4.34,27.54,38.98,29.14,7.27,7.4,0.9,17.7,73.99,77.99,524.1,556,2.1,19.8,345,10210,7.426,147,43.24,2.65,9.87,15.19,158.6,25.89,11.81,0.26,10.53,6.045,40.68,0.9187,764.59,134.02,0.847,26.1,0.1,26.2,3.55,0.36
F33,14.9,1.81,3.11,0.33,17.47,92.56,0.92,0.02,775.37,41.2,35.6,20.1,1.3,143,152.5,37.3,28.2,16,31,3,2.75,18.64,25.86,52.75,7.24,8.7,2.7,8.4,43.7,96.63,252.9,272,0.9,7.3,284,12030,5.657,137,40.29,3.26,25.58,10.69,167.6,22.92,12.85,0.112,3.566,5.729,34.32,0.8283,689.99,128.85,0.627,22.8,0,22.8,2.45,0.23
F34,14.4,1.93,3.32,0.29,20.19,79.69,1.38,0.02,783.94,34,39.7,23,4.1,143,147.5,56.9,32,16,31,3.5,3.03,17.52,37.88,41.57,7.05,5.8,1.5,13.5,25.08,106.51,196.8,535,0.9,11.7,311,3430,7.426,87,25.59,2.39,15.31,9.89,76.44,18.28,10.99,0.329,3.599,10.01,25.16,0.5400,613.19,104.02,0.649,17.4,0,17.4,2.24,0.25
F35,14.8,1.57,2.72,0.65,19.58,86.72,1.5,0.03,878.53,35.8,36.3,25.2,2.6,132,115,37.3,25.2,21,21,2.5,2.77,23.14,33.92,40.17,7.38,18.4,4.1,13.1,122.16,179.71,269.2,552,1.1,8.3,395,5705,6.678,108,31.76,8.04,39.19,10.83,100.6,16.71,10.48,0.258,5.111,9.235,52.58,0.6135,552.64,97.33,0.609,14.4,0,14.4,1.91,0.21
F36,22.3,2,3.45,0.23,27.3,88.64,1.63,0.04,821.18,13,51.6,32,3.1,137,142.5,80,36,21,21,3,3.26,31.9,51.82,13.02,7.27,4.1,0.8,12.4,36.42,103.15,296.2,363,1.3,8.9,425,8595,4.927,166,48.82,1.77,11.14,13.18,176.4,43.36,9.34,0.252,7.687,5.31,28.94,0.7718,685.25,105.22,0.739,27.2,0,27.2,2.48,0.26
F37,15,1.6,2.75,0.37,17.57,91.46,0.67,0.03,815.53,25.2,53.3,18.8,1.5,111,92.5,14.2,17.4,16,31,3,2.8,17.18,48.26,31.76,7.58,18.3,2.7,6.1,148.81,95.86,208.6,272,0.9,9.6,442,12190,12.11,136,40,6.07,23.7,7.5,158.6,25.63,6.62,0.181,5.495,6.3,53.3,0.5914,294.97,60.73,0.532,24.8,0.1,24.9,2.16,0.17
