field,calcium_agro,Corg_agro,humus_agro,potassium_agro,CEC_agro,BS_agro,magnesium_agro,sodium_agro,Ptot_agro,sand_agro,silt_agro,clay_agro,hydrogen_agro,respiration_lbu,slan_lbu,vast_lbu,fertility_lbu,clay_lbu_fuehl,silt_lbu_fuehl,humus_lbu_fuehl,humus_lbu_percent,clay_lbu_percent,silt_lbu_percent,sand_lbu_percent,ph_lbu,phosphorus_CO2_lbu,potassium_CO2_lbu,magnesium_CC_lbu,phosphorus_EDTA_lbu,potassium_EDTA_lbu,magnesium_EDTA_lbu,copper_EDTA_lbu,iron_EDTA_lbu,manganese_EDTA_lbu,boron_EDTA_lbu,phosphorus_H2O_lbu,potassium_H2O_lbu,magnesium_H2O_lbu,calcium_H2O_lbu,nitrate_H2O_lbu,respiration_agro,cMIC_agro,nMIC_agro,WHC_agro,nitrate_agro,ammonium_agro,Nmin_agro
F48,13,1.79,3.08,1.63,19.73,78.71,0.83,0.07,1190.97,54.6,27.1,15.2,4.2,92.6,117.5,37.3,22,11,11,4,3.33,18.3,23.7,54.7,7.24,47.2,10,9,226.18,354.27,125.7,15.12,431,373,1.73,20.43,87.03,8.68,96.55,33.67,0.5368,598.81,100.53,0.575,28.6,0.2,28.8
F49,12.7,1.5,2.59,0.74,17.72,88.15,1.94,0.24,748.23,41.4,36.5,19.5,2.1,68.7,100,56.9,23.1,16,11,3,2.63,26.5,39.7,31.2,7.32,16.8,5.1,19,80.9,176.96,312,9.16,467.5,582.2,0.93,10.11,42.95,17.29,103.3,30.51,0.6550,648.67,103.57,0.600,29.1,0.2,29.3
F50,27.6,2.25,3.89,0.76,33.32,94.6,3.07,0.09,1118.6,21.6,39.9,34.6,1.8,53.2,175,80,30.8,21,11,2.5,4.49,36.9,31.1,27.4,7.6,13.8,4.9,22.4,106.62,246.75,1363,10.09,418.5,363.6,2.36,5.41,43.54,22.07,218.3,47.36,1.0828,845.86,148.58,0.853,41.6,0.3,41.8
F51,12.5,1.04,1.79,0.44,16.97,82.32,0.87,0.16,665.97,37.8,39.6,20.8,3,51.4,85,37.3,16.8,11,11,2.5,2.28,29.7,38.6,29.4,7.12,3.9,2,9.4,18.29,107.01,135.2,6.67,254.7,511.1,0.69,2.19,19.47,8.87,105.7,26.26,0.5057,520.53,80.98,0.598,25.5,0.1,25.7
F52,13.2,1.48,2.55,0.44,18.07,80.63,0.8,0.13,782.89,48.6,32.6,16.3,3.5,89.4,97.5,21.3,17.3,11,11,3,2.51,18.9,25.2,53.4,7.37,3.2,3,8.2,53.4,112.48,185.3,7.29,579.2,450,1.27,2.02,32.5,17.22,159.1,31.64,0.6893,385.16,56.14,0.566,32.7,0.2,32.9
F53,18.6,1.21,2.09,0.44,20.85,96.64,1.05,0.06,930.77,53.1,27.8,17,0.7,85.5,132.5,56.9,26.3,16,21,3,3.24,25.4,24.9,46.5,7.71,7.5,3.1,9.3,57.67,105.54,419,8.3,344.9,424.6,1.11,3.35,27.19,12.61,213.3,49.27,0.8365,792.97,160.78,0.633,32.6,0.9,33.5
F54,19.3,1.53,2.65,0.47,21.31,97.65,1.01,0.03,917.3,43.2,35.6,18.6,0.5,85.5,120,56.9,25.6,16,21,2.5,3.26,22.5,27.4,46.8,7.63,6,2.9,8,45.79,125.87,549.4,10.03,367.9,395.1,1.21,3.08,27.87,10.51,215.4,29.59,0.9789,706.27,111.01,0.635,23.3,0.5,23.8
F55,19.4,1.71,2.95,0.86,24.28,93,2.26,0.06,755.07,42.8,30.6,23.7,1.7,79.2,135,62.2,27.1,16,21,2.5,3.34,36.8,32.7,27.2,7.55,6.2,5.1,17.8,53.22,249.93,630.5,26.11,403.7,592.2,2.32,2.97,47.65,21.87,192.5,55.78,0.8777,672.39,126.64,0.689,49.4,0.1,49.5
F56,13.6,1.3,2.24,0.73,20.52,82.46,2.54,0.05,884.85,41.3,34.6,21.9,3.6,71,120,83.1,29.9,16,11,2.5,2.67,28.9,32.9,35.5,7.32,9.6,3.8,24.5,85.96,186.62,348.8,10.48,477.1,560.4,1.24,5.47,36.01,18.58,87.34,33.86,0.5061,443.07,62.33,0.630,28.9,0.3,29.2
F57,11.4,1.76,3.04,0.78,17.58,74.4,0.77,0.13,1086.05,34.2,47.1,15.7,4.5,63.9,110,56.9,23.3,11,11,3,3.06,16.2,48.3,32.5,7.08,19.9,5.7,9.2,139.59,190.47,129.6,12.39,492.8,381.7,0.68,11.51,48.33,9.23,87.59,24.68,0.6773,529.46,84.57,0.556,15.8,0.8,16.6
F58,21,2.76,4.77,1.19,26.76,88.04,1.32,0.05,1124.54,44.4,33.1,17.7,3.2,92.6,167.5,56.9,28.9,11,21,3,5.12,20.2,24.1,50.6,7.26,21.4,8.7,12,188.64,293.93,232.1,12.65,635.5,518.6,1.8,10.28,83.17,15.98,205.6,59.49,0.9243,788.17,148.77,0.701,47.1,0.6,47.7
F59,17.1,1.58,2.73,0.35,22.32,84.77,1.41,0.06,836.3,41.3,33.9,22.1,3.4,111,135,68,30.9,16,11,2.5,3.12,30.4,33.5,33,7.03,6.4,1.6,13.2,28.98,99.3,204.2,7.56,279.1,534.1,0.81,2.99,14.55,11.28,119.5,19.69,0.7732,794.08,122.08,0.704,21.3,0.3,21.6
