field,replicate,forward,reverse,Jan_name
F04r,1,F47,R32,F47_m11-R32_m11.fastq
F08r,1,F47,R33,F47_m11-R33_m11.fastq
F06r,1,F47,R34,F47_m11-R34_m11.fastq
F02r,1,F47,R35,F47_m11-R35_m11.fastq
F59r,1,F47,R36,F47_m11-R36_m11.fastq
F07r,1,F47,R37,F47_m11-R37_m11.fastq
F36r,1,F47,R38,F47_m11-R38_m11.fastq
F48r,1,F47,R39,F47_m11-R39_m11.fastq
F24r,1,F48,R32,F48_m11-R32_m11.fastq
F01r,1,F48,R33,F48_m11-R33_m11.fastq
F19r,1,F48,R34,F48_m11-R34_m11.fastq
F54r,1,F48,R35,F48_m11-R35_m11.fastq
F32r,1,F48,R36,F48_m11-R36_m11.fastq
F37r,1,F48,R37,F48_m11-R37_m11.fastq
F10r,1,F48,R38,F48_m11-R38_m11.fastq
F22r,1,F48,R39,F48_m11-R39_m11.fastq
F52r,1,F49,R32,F49_m11-R32_m11.fastq
F57r,1,F49,R33,F49_m11-R33_m11.fastq
F21r,1,F49,R34,F49_m11-R34_m11.fastq
F13r,1,F49,R35,F49_m11-R35_m11.fastq
F25r,1,F49,R36,F49_m11-R36_m11.fastq
F12r,1,F49,R37,F49_m11-R37_m11.fastq
F39r,1,F49,R38,F49_m11-R38_m11.fastq
F49r,1,F49,R39,F49_m11-R39_m11.fastq
F31r,1,F50,R32,F50_m11-R32_m11.fastq
F14r,1,F50,R33,F50_m11-R33_m11.fastq
F17r,1,F50,R34,F50_m11-R34_m11.fastq
F58r,1,F50,R35,F50_m11-R35_m11.fastq
F11r,1,F50,R36,F50_m11-R36_m11.fastq
F33r,1,F50,R37,F50_m11-R37_m11.fastq
F41r,1,F50,R38,F50_m11-R38_m11.fastq
F23r,1,F50,R39,F50_m11-R39_m11.fastq
F56r,1,F51,R32,F51_m11-R32_m11.fastq
F20r,1,F51,R33,F51_m11-R33_m11.fastq
F55r,1,F51,R34,F51_m11-R34_m11.fastq
F27r,1,F51,R35,F51_m11-R35_m11.fastq
F05r,1,F51,R36,F51_m11-R36_m11.fastq
F44r,1,F51,R37,F51_m11-R37_m11.fastq
F30r,1,F51,R38,F51_m11-R38_m11.fastq
F15r,1,F51,R39,F51_m11-R39_m11.fastq
F53r,1,F52,R32,F52_m11-R32_m11.fastq
F03r,1,F52,R33,F52_m11-R33_m11.fastq
F28r,1,F52,R34,F52_m11-R34_m11.fastq
F46r,1,F52,R35,F52_m11-R35_m11.fastq
F34r,1,F52,R36,F52_m11-R36_m11.fastq
F43r,1,F52,R37,F52_m11-R37_m11.fastq
F38r,1,F52,R38,F52_m11-R38_m11.fastq
F50r,1,F52,R39,F52_m11-R39_m11.fastq
F29r,1,F53,R32,F53_m11-R32_m11.fastq
F26r,1,F53,R33,F53_m11-R33_m11.fastq
F47r,1,F53,R34,F53_m11-R34_m11.fastq
F16r,1,F53,R35,F53_m11-R35_m11.fastq
F42r,1,F53,R36,F53_m11-R36_m11.fastq
F09r,1,F53,R37,F53_m11-R37_m11.fastq
F40r,1,F53,R38,F53_m11-R38_m11.fastq
F51r,1,F53,R39,F53_m11-R39_m11.fastq
F18r,1,F54,R32,F54_m11-R32_m11.fastq
F45r,1,F54,R33,F54_m11-R33_m11.fastq
F35r,1,F54,R34,F54_m11-R34_m11.fastq
F46r,1,F54,R35,F54_m11-R35_m11.fastq
F49r,1,F54,R36,F54_m11-R36_m11.fastq
F57r,1,F54,R37,F54_m11-R37_m11.fastq
F58r,1,F54,R38,F54_m11-R38_m11.fastq
F59r,1,F54,R39,F54_m11-R39_m11.fastq
H2Or,1,F55,R32,F55_m11-R32_m11.fastq
