Sample_ID,Sample_number,Barcode,foward,reverse,field,replicate,JC_name,Jan_name
F24.3,1,F47_R32,F47,R32,F24,3,F47-m8-R32-m8,F47_m8-R32_m8.fastq
F31.3,13,F47_R33,F47,R33,F31,3,F47-m8-R33-m8,F47_m8-R33_m8.fastq
F30.2,25,F47_R34,F47,R34,F30,2,F47-m8-R34-m8,F47_m8-R34_m8.fastq
F47.2,37,F47_R35,F47,R35,F47,2,F47-m8-R35-m8,F47_m8-R35_m8.fastq
F44.1,49,F47_R36,F47,R36,F44,1,F47-m8-R36-m8,F47_m8-R36_m8.fastq
F33.4,61,F47_R37,F47,R37,F33,4,F47-m8-R37-m8,F47_m8-R37_m8.fastq
F27.3,73,F47_R38,F47,R38,F27,3,F47-m8-R38-m8,F47_m8-R38_m8.fastq
F39.2,85,F47_R39,F47,R39,F39,2,F47-m8-R39-m8,F47_m8-R39_m8.fastq
F39.4,2,F48_R32,F48,R32,F39,4,F48-m8-R32-m8,F48_m8-R32_m8.fastq
F38.4,14,F48_R33,F48,R33,F38,4,F48-m8-R33-m8,F48_m8-R33_m8.fastq
F43.1,26,F48_R34,F48,R34,F43,1,F48-m8-R34-m8,F48_m8-R34_m8.fastq
F23.2,38,F48_R35,F48,R35,F23,2,F48-m8-R35-m8,F48_m8-R35_m8.fastq
F33.2,50,F48_R36,F48,R36,F33,2,F48-m8-R36-m8,F48_m8-R36_m8.fastq
F29.1,62,F48_R37,F48,R37,F29,1,F48-m8-R37-m8,F48_m8-R37_m8.fastq
F42.1,74,F48_R38,F48,R38,F42,1,F48-m8-R38-m8,F48_m8-R38_m8.fastq
F45.3,86,F48_R39,F48,R39,F45,3,F48-m8-R39-m8,F48_m8-R39_m8.fastq
F27.4,3,F49_R32,F49,R32,F27,4,F49-m8-R32-m8,F49_m8-R32_m8.fastq
F27.1,15,F49_R33,F49,R33,F27,1,F49-m8-R33-m8,F49_m8-R33_m8.fastq
F44.3,27,F49_R34,F49,R34,F44,3,F49-m8-R34-m8,F49_m8-R34_m8.fastq
F36.2,39,F49_R35,F49,R35,F36,2,F49-m8-R35-m8,F49_m8-R35_m8.fastq
F37.4,51,F49_R36,F49,R36,F37,4,F49-m8-R36-m8,F49_m8-R36_m8.fastq
F40.2,63,F49_R37,F49,R37,F40,2,F49-m8-R37-m8,F49_m8-R37_m8.fastq
F43.2,75,F49_R38,F49,R38,F43,2,F49-m8-R38-m8,F49_m8-R38_m8.fastq
F38.2,87,F49_R39,F49,R39,F38,2,F49-m8-R39-m8,F49_m8-R39_m8.fastq
F32.1,4,F50_R32,F50,R32,F32,1,F50-m8-R32-m8,F50_m8-R32_m8.fastq
F31.4,16,F50_R33,F50,R33,F31,4,F50-m8-R33-m8,F50_m8-R33_m8.fastq
F29.4,28,F50_R34,F50,R34,F29,4,F50-m8-R34-m8,F50_m8-R34_m8.fastq
F36.4,40,F50_R35,F50,R35,F36,4,F50-m8-R35-m8,F50_m8-R35_m8.fastq
F34.3,52,F50_R36,F50,R36,F34,3,F50-m8-R36-m8,F50_m8-R36_m8.fastq
F29.3,64,F50_R37,F50,R37,F29,3,F50-m8-R37-m8,F50_m8-R37_m8.fastq
F31.2,76,F50_R38,F50,R38,F31,2,F50-m8-R38-m8,F50_m8-R38_m8.fastq
F40.4,88,F50_R39,F50,R39,F40,4,F50-m8-R39-m8,F50_m8-R39_m8.fastq
F42.4,5,F51_R32,F51,R32,F42,4,F51-m8-R32-m8,F51_m8-R32_m8.fastq
F28.1,17,F51_R33,F51,R33,F28,1,F51-m8-R33-m8,F51_m8-R33_m8.fastq
F41.3,29,F51_R34,F51,R34,F41,3,F51-m8-R34-m8,F51_m8-R34_m8.fastq
F33.3,41,F51_R35,F51,R35,F33,3,F51-m8-R35-m8,F51_m8-R35_m8.fastq
F30.3,53,F51_R36,F51,R36,F30,3,F51-m8-R36-m8,F51_m8-R36_m8.fastq
F32.2,65,F51_R37,F51,R37,F32,2,F51-m8-R37-m8,F51_m8-R37_m8.fastq
F32.4,77,F51_R38,F51,R38,F32,4,F51-m8-R38-m8,F51_m8-R38_m8.fastq
F25.4,89,F51_R39,F51,R39,F25,4,F51-m8-R39-m8,F51_m8-R39_m8.fastq
F28.2,6,F52_R32,F52,R32,F28,2,F52-m8-R32-m8,F52_m8-R32_m8.fastq
F40.3,18,F52_R33,F52,R33,F40,3,F52-m8-R33-m8,F52_m8-R33_m8.fastq
